Manufacturing Country,SASB industry,Variable,Unit,direct,upstream tier 1,upstream tier 2,upstream rest,Total
AUS,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.001989918193306058,-0.008988352234265333,-0.006997058930471564,-0.011301113660943055,-0.029276443018986006
AUS,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.023813288957057484,-0.028856924565152566,-0.014165659369980155,-0.016728184342749246,-0.08356405723493945
AUS,Financials,Air Emission,EUR Impact per EUR Output,-0.0001404837394128044,-0.001408300204837989,-0.002123129908688118,-0.005163724276362239,-0.00883563812930115
AUS,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.09625046132100405,-0.05173320135106088,-0.020161700103702846,-0.019130539365299938,-0.18727590214106773
AUS,Health Care,Air Emission,EUR Impact per EUR Output,-0.002017939629953209,-0.004142619783687194,-0.004681181643874627,-0.007772941734558457,-0.018614682792073487
AUS,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.017876279752578002,-0.015455808653739387,-0.011233264669279425,-0.017072606370363567,-0.061637959445960386
AUS,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.03583230653243264,-0.022337158934714975,-0.014865690345458973,-0.018498510607975825,-0.09153366642058242
AUS,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.005934668099214762,-0.0295172710497969,-0.019465998051729824,-0.024350078847524777,-0.07926801604826626
AUS,Services,Air Emission,EUR Impact per EUR Output,-0.0021243878948038627,-0.005924377953739098,-0.006606979349351465,-0.010413485516429,-0.025069230714323425
AUS,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0005680324220927392,-0.004612088696972147,-0.004643600843473112,-0.010552948266476245,-0.02037667022901424
AUS,Transportation,Air Emission,EUR Impact per EUR Output,-0.018626626431057763,-0.01099863792480945,-0.010860198431086645,-0.01573484093549896,-0.056220303722452826
BRA,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0029455250355847496,-0.00797255516808654,-0.005048931706300646,-0.007069033366620572,-0.023036045276592507
BRA,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.12229197029249002,-0.03190477372999927,-0.01726875139463951,-0.01818769221537597,-0.18965318763250477
BRA,Financials,Air Emission,EUR Impact per EUR Output,-2.903732918925877e-05,-0.0009814479242367894,-0.0014576052046873153,-0.0034351400868276355,-0.005903230544940999
BRA,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.1381155995538367,-0.05614335213524167,-0.015255120019403887,-0.012958513292255919,-0.2224725850007382
BRA,Health Care,Air Emission,EUR Impact per EUR Output,-0.004255432204369676,-0.003690230435741688,-0.004498940371190243,-0.00638399778311471,-0.01882860079441632
BRA,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.0042359364006250115,-0.03635267572381316,-0.012569700564300785,-0.009607823087046968,-0.06276613577578594
BRA,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.052876411004113145,-0.02082905014733659,-0.00957582133424833,-0.01148680327818766,-0.09476808576388572
BRA,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.011810236237965012,-0.03815749751365444,-0.01775193718848611,-0.019066817436601515,-0.08678648837670708
BRA,Services,Air Emission,EUR Impact per EUR Output,-0.0005101154461917768,-0.005266008307045912,-0.006312496114938888,-0.006196336364181986,-0.018284956232358564
BRA,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.00031582607947978187,-0.0020376106209679533,-0.005024246766397631,-0.009882246535636591,-0.01725993000248196
BRA,Transportation,Air Emission,EUR Impact per EUR Output,-0.014124527690238284,-0.015000419054167205,-0.011185958631271076,-0.014691992556622853,-0.05500289793229941
CAN,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.001632853073209305,-0.006653824964908561,-0.006407467154406898,-0.011079686949172664,-0.025773832141697428
CAN,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.025954253705683897,-0.014073891045677222,-0.006241630979780824,-0.007848352279644798,-0.05411812801078674
CAN,Financials,Air Emission,EUR Impact per EUR Output,-0.0004733468297411059,-0.0012147161761716316,-0.0019426813888942644,-0.005650320986229685,-0.009281065381036688
CAN,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.16728854448474093,-0.06993922866717897,-0.022394120420357384,-0.019773538129090152,-0.2793954317013675
CAN,Health Care,Air Emission,EUR Impact per EUR Output,-0.0027132526919335315,-0.0022106199625907784,-0.0030504887272961192,-0.0064599644667567005,-0.01443432584857713
CAN,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.007663027928236512,-0.00800711368696203,-0.00546458811981876,-0.008202225765028265,-0.029336955500045565
CAN,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.05993124518930412,-0.034606688679083376,-0.013404264997366456,-0.016514933967876972,-0.12445713283363093
CAN,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.009945047249713002,-0.020545212763958324,-0.012264773259007078,-0.016959843880632063,-0.05971487715331046
CAN,Services,Air Emission,EUR Impact per EUR Output,-0.0013854408959555577,-0.006127099963165731,-0.006554937835108525,-0.01036555298494443,-0.024433031679174246
CAN,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.0006259665802379815,-0.001482345565155541,-0.002995578762845891,-0.008394275935424377,-0.01349816684366379
CAN,Transportation,Air Emission,EUR Impact per EUR Output,-0.038179450027636605,-0.01915042752285881,-0.011299187805069522,-0.01662877051320328,-0.0852578358687682
CHE,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0005806545493382776,-0.00874633276616992,-0.003796159388489996,-0.006713699464839838,-0.01983684616883803
CHE,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.06590983948518497,-0.026148803302336973,-0.011592563850934861,-0.014441784695481043,-0.11809299133393784
CHE,Financials,Air Emission,EUR Impact per EUR Output,-0.0005116882406668795,-0.0009330915687863111,-0.0011931922663449299,-0.0030695254599015565,-0.005707497535699676
CHE,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.03627207751789521,-0.03377964926806223,-0.01373668451829686,-0.01370369534528958,-0.09749210664954387
CHE,Health Care,Air Emission,EUR Impact per EUR Output,-0.00035553725401718555,-0.0026561944760085596,-0.00396752005450573,-0.007546303964840235,-0.01452555574937171
CHE,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.0012400294348926032,-0.00840085074804512,-0.007611261336469923,-0.012928612619634499,-0.030180754139042146
CHE,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.006591171151450727,-0.018566053190115506,-0.009807814988046113,-0.013251080680795538,-0.048216120010407884
CHE,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.011205805917775974,-0.011898727668075159,-0.008491158642695432,-0.012925983418017813,-0.04452167564656438
CHE,Services,Air Emission,EUR Impact per EUR Output,-0.0004996778583811514,-0.002417912625540605,-0.0028356219622340723,-0.005154713415766708,-0.010907925861922537
CHE,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.00014367649204205762,-0.002316235247878032,-0.003847474884678561,-0.009656378897131059,-0.01596376552172971
CHE,Transportation,Air Emission,EUR Impact per EUR Output,-0.04167725659513833,-0.006279819300101515,-0.00508929929175722,-0.009425220889445862,-0.06247159607644292
CHN,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0025526539551520375,-0.01516819058653764,-0.01452964041493214,-0.03796351922309476,-0.07021400417971657
CHN,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.09231478000232617,-0.058118115623103817,-0.03447721631629356,-0.05758449397025028,-0.24249460591197383
CHN,Financials,Air Emission,EUR Impact per EUR Output,-0.001548431064409442,-0.0024521790165787094,-0.00455703774666584,-0.014427076182028075,-0.02298472400968207
CHN,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.06849881753265465,-0.03927310200480936,-0.021045396523555065,-0.032865849212312656,-0.1616831652733317
CHN,Health Care,Air Emission,EUR Impact per EUR Output,-0.04041366550985081,-0.027804489234925383,-0.023223602400862825,-0.042428547926854014,-0.13387030507249303
CHN,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.05431752842605731,-0.07307812485179982,-0.03653539917102903,-0.05900484487709565,-0.22293589732598182
CHN,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.07304147387186803,-0.05201862752293071,-0.028842966696665587,-0.05372619073131154,-0.2076292588227759
CHN,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.015106799331328186,-0.039015629867057554,-0.03452832809677221,-0.07270721071998265,-0.1613579680151406
CHN,Services,Air Emission,EUR Impact per EUR Output,-0.0075504016201247935,-0.013158858942874965,-0.01663621575657734,-0.035813808545984316,-0.0731592848655614
