model,project_id,region,scenario,year,adj_ratio_ghg,adj_ratio_employment,adj_ratio_water,adj_ratio_va,baseline_GHG_tCO2e,baseline_Employment_FTE,baseline_Water_1000m3,baseline_VA_Musd,adjusted_GHG_tCO2e,adjusted_Employment_FTE,adjusted_Water_1000m3,adjusted_VA_Musd
OSeMOSYS,Hydro_AF,Africa,SSP1-1.9,2025,0.7098,1.0965,0.624828819062096,1.0965,20276.226,792.447,130.23518,31.64112,14392.1,868.9,81.37,34.694
OSeMOSYS,Hydro_AF,Africa,SSP1-1.9,2030,0.0407,1.2465,0.13095749156241154,1.2465,20276.226,792.447,130.23518,31.64112,825.2,987.8,17.06,39.441
OSeMOSYS,Hydro_AF,Africa,SSP1-1.9,2040,0.0223,1.2616,0.10565624376248625,1.2616,20276.226,792.447,130.23518,31.64112,452.2,999.8,13.76,39.918
OSeMOSYS,Hydro_AF,Africa,SSP2-4.5,2025,0.7523,1.024,0.7231541108342566,1.024,20276.226,792.447,130.23518,31.64112,15253.8,811.5,94.18,32.401
OSeMOSYS,Hydro_AF,Africa,SSP2-4.5,2030,0.5023,1.0997,0.5177141407424444,1.0997,20276.226,792.447,130.23518,31.64112,10184.7,871.5,67.42,34.796
OSeMOSYS,Hydro_AF,Africa,SSP2-4.5,2040,0.2008,1.1929,0.26796639083123885,1.1929,20276.226,792.447,130.23518,31.64112,4071.5,945.3,34.9,37.745
OSeMOSYS,Hydro_AF,Africa,SSP3-7.0,2025,0.7709,0.984,0.7749295584779443,0.984,20276.226,792.447,130.23518,31.64112,15630.9,779.8,100.92,31.135
OSeMOSYS,Hydro_AF,Africa,SSP3-7.0,2030,0.5002,1.0757,0.5421195301946451,1.0757,20276.226,792.447,130.23518,31.64112,10142.2,852.4,70.6,34.036
OSeMOSYS,Hydro_AF,Africa,SSP3-7.0,2040,0.19,1.1851,0.2708278581974371,1.1851,20276.226,792.447,130.23518,31.64112,3852.5,939.1,35.27,37.498
OSeMOSYS,Hydro_AF,Africa,SSP4-6.0,2025,0.8464,0.984,0.8127168886837989,0.984,20276.226,792.447,130.23518,31.64112,17161.8,779.8,105.84,31.135
OSeMOSYS,Hydro_AF,Africa,SSP4-6.0,2030,0.648,1.0408,0.6531332713214535,1.0408,20276.226,792.447,130.23518,31.64112,13139.0,824.8,85.06,32.932
OSeMOSYS,Hydro_AF,Africa,SSP4-6.0,2040,0.3276,1.1336,0.39434151404696105,1.1336,20276.226,792.447,130.23518,31.64112,6642.5,898.3,51.36,35.868
OSeMOSYS,Hydro_AF,Africa,SSP5-8.5,2025,0.768,0.952,0.8075187219589011,0.952,20276.226,792.447,130.23518,31.64112,15572.1,754.4,105.17,30.122
OSeMOSYS,Hydro_AF,Africa,SSP5-8.5,2030,0.4818,1.0604,0.5492878864157539,1.0604,20276.226,792.447,130.23518,31.64112,9769.1,840.3,71.54,33.552
OSeMOSYS,Hydro_AF,Africa,SSP5-8.5,2040,0.1775,1.181,0.2689046336265592,1.181,20276.226,792.447,130.23518,31.64112,3599.0,935.9,35.02,37.368
OSeMOSYS,Hydro_AS,Asia,SSP1-1.9,2025,0.8195,1.044,0.7175864845120605,1.044,96301.706,3651.172,633.72806,158.20580999999999,78919.2,3811.8,454.75,165.167
OSeMOSYS,Hydro_AS,Asia,SSP1-1.9,2030,0.5739,1.116,0.4919753346548843,1.116,96301.706,3651.172,633.72806,158.20580999999999,55267.5,4074.7,311.78,176.558
OSeMOSYS,Hydro_AS,Asia,SSP1-1.9,2040,0.0084,1.2707,0.10019828197916758,1.2707,96301.706,3651.172,633.72806,158.20580999999999,808.9,4639.5,63.5,201.032
OSeMOSYS,Hydro_AS,Asia,SSP2-4.5,2025,0.7991,0.992,0.8012563629915217,0.992,96301.706,3651.172,633.72806,158.20580999999999,76954.7,3622.0,507.78,156.94
OSeMOSYS,Hydro_AS,Asia,SSP2-4.5,2030,0.5356,1.0815,0.5869932431209504,1.0815,96301.706,3651.172,633.72806,158.20580999999999,51579.2,3948.7,371.99,171.1
OSeMOSYS,Hydro_AS,Asia,SSP2-4.5,2040,0.2094,1.1925,0.29980542235783236,1.1925,96301.706,3651.172,633.72806,158.20580999999999,20165.6,4354.0,190.0,188.66
OSeMOSYS,Hydro_AS,Asia,SSP3-7.0,2025,0.7344,0.956,0.8322261366991318,0.956,96301.706,3651.172,633.72806,158.20580999999999,70724.0,3490.5,527.41,151.245
OSeMOSYS,Hydro_AS,Asia,SSP3-7.0,2030,0.5482,0.96,0.739887979973392,0.96,96301.706,3651.172,633.72806,158.20580999999999,52792.6,3505.1,468.89,151.878
OSeMOSYS,Hydro_AS,Asia,SSP3-7.0,2040,0.2123,1.126,0.3819105953467571,1.126,96301.706,3651.172,633.72806,158.20580999999999,20444.9,4111.2,242.03,178.14
OSeMOSYS,Hydro_AS,Asia,SSP4-6.0,2025,0.8055,1.012,0.7781479108872102,1.012,96301.706,3651.172,633.72806,158.20580999999999,77571.0,3695.0,493.13,160.104
OSeMOSYS,Hydro_AS,Asia,SSP4-6.0,2030,0.5226,1.1017,0.5507711908453141,1.1017,96301.706,3651.172,633.72806,158.20580999999999,50327.3,4022.5,349.04,174.295
OSeMOSYS,Hydro_AS,Asia,SSP4-6.0,2040,0.1957,1.2056,0.2767564205409758,1.2056,96301.706,3651.172,633.72806,158.20580999999999,18846.2,4401.9,175.39,190.733
OSeMOSYS,Hydro_AS,Asia,SSP5-8.5,2025,0.7158,0.94,0.847775839327884,0.94,96301.706,3651.172,633.72806,158.20580999999999,68932.8,3432.1,537.26,148.713
OSeMOSYS,Hydro_AS,Asia,SSP5-8.5,2030,0.8557,0.944,0.8729124329645663,0.944,96301.706,3651.172,633.72806,158.20580999999999,82405.4,3446.7,553.19,149.346
OSeMOSYS,Hydro_AS,Asia,SSP5-8.5,2040,0.391,1.1212,0.4662971288312052,1.1212,96301.706,3651.172,633.72806,158.20580999999999,37654.0,4093.7,295.51,177.38
OSeMOSYS,Hydro_EU,Europe,SSP1-1.9,2025,0.6104,1.12,0.5501998819015658,1.12,818.437,28.118,5.2323,2.10932,499.6,31.5,2.88,2.362
OSeMOSYS,Hydro_EU,Europe,SSP1-1.9,2030,0.3128,1.176,0.34188112840659657,1.176,818.437,28.118,5.2323,2.10932,256.0,33.1,1.79,2.481
OSeMOSYS,Hydro_EU,Europe,SSP1-1.9,2040,0.0842,1.252,0.14685261149408368,1.252,818.437,28.118,5.2323,2.10932,68.9,35.2,0.77,2.641
OSeMOSYS,Hydro_EU,Europe,SSP2-4.5,2025,0.8458,1.072,0.7189043242637458,1.072,818.437,28.118,5.2323,2.10932,692.2,30.1,3.76,2.261
OSeMOSYS,Hydro_EU,Europe,SSP2-4.5,2030,0.67,1.1128,0.5876686051740497,1.1128,818.437,28.118,5.2323,2.10932,548.4,31.3,3.07,2.347
OSeMOSYS,Hydro_EU,Europe,SSP2-4.5,2040,0.3619,1.1842,0.35774658552652816,1.1842,818.437,28.118,5.2323,2.10932,296.2,33.3,1.87,2.498
OSeMOSYS,Hydro_EU,Europe,SSP3-7.0,2025,0.9128,1.032,0.7949183218474014,1.032,818.437,28.118,5.2323,2.10932,747.1,29.0,4.16,2.177
OSeMOSYS,Hydro_EU,Europe,SSP3-7.0,2030,0.8286,1.04,0.7443012626310594,1.04,818.437,28.118,5.2323,2.10932,678.2,29.2,3.89,2.194
OSeMOSYS,Hydro_EU,Europe,SSP3-7.0,2040,0.4715,1.1332,0.4667115223227014,1.1332,818.437,28.118,5.2323,2.10932,385.9,31.9,2.44,2.39
OSeMOSYS,Hydro_EU,Europe,SSP4-6.0,2025,0.6672,1.112,0.587078114433333,1.112,818.437,28.118,5.2323,2.10932,546.1,31.3,3.07,2.346
OSeMOSYS,Hydro_EU,Europe,SSP4-6.0,2030,0.3368,1.168,0.36241044597633476,1.168,818.437,28.118,5.2323,2.10932,275.6,32.8,1.9,2.464
OSeMOSYS,Hydro_EU,Europe,SSP4-6.0,2040,0.1083,1.244,0.16738192906382188,1.244,818.437,28.118,5.2323,2.10932,88.6,35.0,0.88,2.624
OSeMOSYS,Hydro_EU,Europe,SSP5-8.5,2025,0.9235,1.004,0.8300105371026714,1.004,818.437,28.118,5.2323,2.10932,755.8,28.2,4.34,2.118
OSeMOSYS,Hydro_EU,Europe,SSP5-8.5,2030,0.8419,1.012,0.7806906887098504,1.012,818.437,28.118,5.2323,2.10932,689.0,28.5,4.08,2.135
OSeMOSYS,Hydro_EU,Europe,SSP5-8.5,2040,0.5949,1.0717,0.5937858237521318,1.0717,818.437,28.118,5.2323,2.10932,486.9,30.1,3.11,2.261
OSeMOSYS,Proj_001,LATAM,SSP1-1.9,2025,0.7833,1.1471,0.6078663855501878,1.1471,130146.337,5623.333,1018.50002,262.7607,101943.6,6450.5,619.11,301.413
OSeMOSYS,Proj_001,LATAM,SSP1-1.9,2030,0.5659,1.184,0.45992613971530133,1.184,130146.337,5623.333,1018.50002,262.7607,73649.8,6658.0,468.43,311.109
OSeMOSYS,Proj_001,LATAM,SSP1-1.9,2040,0.1132,1.2534,0.15988286611186275,1.2534,130146.337,5623.333,1018.50002,262.7607,14732.6,7048.3,162.84,329.344
OSeMOSYS,Proj_001,LATAM,SSP2-4.5,2025,1.0254,1.088,0.7917047314628838,1.088,130146.337,5623.333,1018.50002,262.7607,133452.1,6118.2,806.35,285.884
OSeMOSYS,Proj_001,LATAM,SSP2-4.5,2030,0.7518,1.137,0.6028953194657325,1.137,130146.337,5623.333,1018.50002,262.7607,97844.0,6393.7,614.05,298.759
OSeMOSYS,Proj_001,LATAM,SSP2-4.5,2040,0.3665,1.2065,0.3364264164875368,1.2065,130146.337,5623.333,1018.50002,262.7607,47698.6,6784.6,342.65,317.021
OSeMOSYS,Proj_001,LATAM,SSP3-7.0,2025,1.1159,1.065,0.8613688492124596,1.065,130146.337,5623.333,1018.50002,262.7607,145230.3,5988.8,877.3,279.84
OSeMOSYS,Proj_001,LATAM,SSP3-7.0,2030,0.7887,1.1253,0.6336921957863778,1.1253,130146.337,5623.333,1018.50002,262.7607,102646.4,6327.9,645.42,295.685
OSeMOSYS,Proj_001,LATAM,SSP3-7.0,2040,0.3704,1.2033,0.34165561282255663,1.2033,130146.337,5623.333,1018.50002,262.7607,48206.2,6766.6,347.98,316.18
OSeMOSYS,Proj_001,LATAM,SSP4-6.0,2025,1.0162,1.092,0.7828295814147193,1.092,130146.337,5623.333,1018.50002,262.7607,132254.7,6140.7,797.31,286.935
OSeMOSYS,Proj_001,LATAM,SSP4-6.0,2030,0.7622,1.1369,0.6081643492139134,1.1369,130146.337,5623.333,1018.50002,262.7607,99197.5,6393.2,619.42,298.733
OSeMOSYS,Proj_001,LATAM,SSP4-6.0,2040,0.3839,1.2041,0.3475652718022418,1.2041,130146.337,5623.333,1018.50002,262.7607,49963.2,6771.1,354.0,316.39
OSeMOSYS,Proj_001,LATAM,SSP5-8.5,2025,1.1417,1.0569,0.882895197634791,1.0569,130146.337,5623.333,1018.50002,262.7607,148588.1,5943.3,899.23,277.712
OSeMOSYS,Proj_001,LATAM,SSP5-8.5,2030,0.7717,1.1264,0.6239839506863696,1.1264,130146.337,5623.333,1018.50002,262.7607,100433.9,6334.1,635.53,295.974
OSeMOSYS,Proj_001,LATAM,SSP5-8.5,2040,0.3357,1.2095,0.31775795947446916,1.2095,130146.337,5623.333,1018.50002,262.7607,43690.1,6801.4,323.64,317.809
OSeMOSYS,Proj_002,Africa,SSP1-1.9,2025,0.7098,1.0965,0.624828819062096,1.0965,15837.667,674.443,114.3109,26.30349,11241.6,739.5,71.42,28.842
OSeMOSYS,Proj_002,Africa,SSP1-1.9,2030,0.0407,1.2465,0.13095749156241154,1.2465,15837.667,674.443,114.3109,26.30349,644.6,840.7,14.97,32.787
OSeMOSYS,Proj_002,Africa,SSP1-1.9,2040,0.0223,1.2616,0.10565624376248625,1.2616,15837.667,674.443,114.3109,26.30349,353.2,850.9,12.08,33.184
OSeMOSYS,Proj_002,Africa,SSP2-4.5,2025,0.7523,1.024,0.7231541108342566,1.024,15837.667,674.443,114.3109,26.30349,11914.7,690.6,82.66,26.935
OSeMOSYS,Proj_002,Africa,SSP2-4.5,2030,0.5023,1.0997,0.5177141407424444,1.0997,15837.667,674.443,114.3109,26.30349,7955.3,741.7,59.18,28.926
OSeMOSYS,Proj_002,Africa,SSP2-4.5,2040,0.2008,1.1929,0.26796639083123885,1.1929,15837.667,674.443,114.3109,26.30349,3180.2,804.5,30.63,31.377
OSeMOSYS,Proj_002,Africa,SSP3-7.0,2025,0.7709,0.984,0.7749295584779443,0.984,15837.667,674.443,114.3109,26.30349,12209.3,663.7,88.58,25.883
OSeMOSYS,Proj_002,Africa,SSP3-7.0,2030,0.5002,1.0757,0.5421195301946451,1.0757,15837.667,674.443,114.3109,26.30349,7922.0,725.5,61.97,28.295
OSeMOSYS,Proj_002,Africa,SSP3-7.0,2040,0.19,1.1851,0.2708278581974371,1.1851,15837.667,674.443,114.3109,26.30349,3009.2,799.3,30.96,31.172
OSeMOSYS,Proj_002,Africa,SSP4-6.0,2025,0.8464,0.984,0.8127168886837989,0.984,15837.667,674.443,114.3109,26.30349,13405.0,663.7,92.9,25.883
OSeMOSYS,Proj_002,Africa,SSP4-6.0,2030,0.648,1.0408,0.6531332713214535,1.0408,15837.667,674.443,114.3109,26.30349,10262.8,702.0,74.66,27.377
OSeMOSYS,Proj_002,Africa,SSP4-6.0,2040,0.3276,1.1336,0.39434151404696105,1.1336,15837.667,674.443,114.3109,26.30349,5188.4,764.5,45.08,29.818
OSeMOSYS,Proj_002,Africa,SSP5-8.5,2025,0.768,0.952,0.8075187219589011,0.952,15837.667,674.443,114.3109,26.30349,12163.3,642.1,92.31,25.041
OSeMOSYS,Proj_002,Africa,SSP5-8.5,2030,0.4818,1.0604,0.5492878864157539,1.0604,15837.667,674.443,114.3109,26.30349,7630.6,715.2,62.79,27.892
OSeMOSYS,Proj_002,Africa,SSP5-8.5,2040,0.1775,1.181,0.2689046336265592,1.181,15837.667,674.443,114.3109,26.30349,2811.2,796.5,30.74,31.064
OSeMOSYS,Proj_003,Europe,SSP1-1.9,2025,0.6104,1.12,0.5501998819015658,1.12,26640.08,1069.527,210.11778999999999,78.7729,16261.1,1197.9,115.61,88.226
OSeMOSYS,Proj_003,Europe,SSP1-1.9,2030,0.3128,1.176,0.34188112840659657,1.176,26640.08,1069.527,210.11778999999999,78.7729,8333.0,1257.8,71.84,92.637
OSeMOSYS,Proj_003,Europe,SSP1-1.9,2040,0.0842,1.252,0.14685261149408368,1.252,26640.08,1069.527,210.11778999999999,78.7729,2243.1,1339.0,30.86,98.624
OSeMOSYS,Proj_003,Europe,SSP2-4.5,2025,0.8458,1.072,0.7189043242637458,1.072,26640.08,1069.527,210.11778999999999,78.7729,22532.2,1146.5,151.05,84.445
OSeMOSYS,Proj_003,Europe,SSP2-4.5,2030,0.67,1.1128,0.5876686051740497,1.1128,26640.08,1069.527,210.11778999999999,78.7729,17848.9,1190.2,123.48,87.658
OSeMOSYS,Proj_003,Europe,SSP2-4.5,2040,0.3619,1.1842,0.35774658552652816,1.1842,26640.08,1069.527,210.11778999999999,78.7729,9641.0,1266.5,75.17,93.283
OSeMOSYS,Proj_003,Europe,SSP3-7.0,2025,0.9128,1.032,0.7949183218474014,1.032,26640.08,1069.527,210.11778999999999,78.7729,24317.1,1103.8,167.03,81.294
OSeMOSYS,Proj_003,Europe,SSP3-7.0,2030,0.8286,1.04,0.7443012626310594,1.04,26640.08,1069.527,210.11778999999999,78.7729,22074.0,1112.3,156.39,81.924
OSeMOSYS,Proj_003,Europe,SSP3-7.0,2040,0.4715,1.1332,0.4667115223227014,1.1332,26640.08,1069.527,210.11778999999999,78.7729,12560.8,1212.0,98.06,89.265
OSeMOSYS,Proj_003,Europe,SSP4-6.0,2025,0.6672,1.112,0.587078114433333,1.112,26640.08,1069.527,210.11778999999999,78.7729,17774.3,1189.3,123.36,87.595
OSeMOSYS,Proj_003,Europe,SSP4-6.0,2030,0.3368,1.168,0.36241044597633476,1.168,26640.08,1069.527,210.11778999999999,78.7729,8972.4,1249.2,76.15,92.007
OSeMOSYS,Proj_003,Europe,SSP4-6.0,2040,0.1083,1.244,0.16738192906382188,1.244,26640.08,1069.527,210.11778999999999,78.7729,2885.1,1330.5,35.17,97.993
OSeMOSYS,Proj_003,Europe,SSP5-8.5,2025,0.9235,1.004,0.8300105371026714,1.004,26640.08,1069.527,210.11778999999999,78.7729,24602.1,1073.8,174.4,79.088
OSeMOSYS,Proj_003,Europe,SSP5-8.5,2030,0.8419,1.012,0.7806906887098504,1.012,26640.08,1069.527,210.11778999999999,78.7729,22428.3,1082.4,164.04,79.718
OSeMOSYS,Proj_003,Europe,SSP5-8.5,2040,0.5949,1.0717,0.5937858237521318,1.0717,26640.08,1069.527,210.11778999999999,78.7729,15848.2,1146.2,124.76,84.421
OSeMOSYS,Rail_EU_DEV,Europe,SSP1-1.9,2025,0.6104,1.12,0.5501998819015658,1.12,787208.099,27837.091,5336.45903,2102.39702,480511.8,31177.5,2936.12,2354.685
OSeMOSYS,Rail_EU_DEV,Europe,SSP1-1.9,2030,0.3128,1.176,0.34188112840659657,1.176,787208.099,27837.091,5336.45903,2102.39702,246238.7,32736.4,1824.43,2472.419
OSeMOSYS,Rail_EU_DEV,Europe,SSP1-1.9,2040,0.0842,1.252,0.14685261149408368,1.252,787208.099,27837.091,5336.45903,2102.39702,66282.9,34852.0,783.67,2632.201
OSeMOSYS,Rail_EU_DEV,Europe,SSP2-4.5,2025,0.8458,1.072,0.7189043242637458,1.072,787208.099,27837.091,5336.45903,2102.39702,665820.6,29841.4,3836.4,2253.77
OSeMOSYS,Rail_EU_DEV,Europe,SSP2-4.5,2030,0.67,1.1128,0.5876686051740497,1.1128,787208.099,27837.091,5336.45903,2102.39702,527429.4,30977.1,3136.07,2339.547
OSeMOSYS,Rail_EU_DEV,Europe,SSP2-4.5,2040,0.3619,1.1842,0.35774658552652816,1.1842,787208.099,27837.091,5336.45903,2102.39702,284890.6,32964.7,1909.1,2489.659
OSeMOSYS,Rail_EU_DEV,Europe,SSP3-7.0,2025,0.9128,1.032,0.7949183218474014,1.032,787208.099,27837.091,5336.45903,2102.39702,718563.6,28727.9,4242.05,2169.674
OSeMOSYS,Rail_EU_DEV,Europe,SSP3-7.0,2030,0.8286,1.04,0.7443012626310594,1.04,787208.099,27837.091,5336.45903,2102.39702,652280.6,28950.6,3971.93,2186.493
OSeMOSYS,Rail_EU_DEV,Europe,SSP3-7.0,2040,0.4715,1.1332,0.4667115223227014,1.1332,787208.099,27837.091,5336.45903,2102.39702,371168.6,31545.0,2490.59,2382.436
OSeMOSYS,Rail_EU_DEV,Europe,SSP4-6.0,2025,0.6672,1.112,0.587078114433333,1.112,787208.099,27837.091,5336.45903,2102.39702,525225.2,30954.8,3132.92,2337.865
OSeMOSYS,Rail_EU_DEV,Europe,SSP4-6.0,2030,0.3368,1.168,0.36241044597633476,1.168,787208.099,27837.091,5336.45903,2102.39702,265131.7,32513.7,1933.99,2455.6
OSeMOSYS,Rail_EU_DEV,Europe,SSP4-6.0,2040,0.1083,1.244,0.16738192906382188,1.244,787208.099,27837.091,5336.45903,2102.39702,85254.6,34629.3,893.23,2615.382
OSeMOSYS,Rail_EU_DEV,Europe,SSP5-8.5,2025,0.9235,1.004,0.8300105371026714,1.004,787208.099,27837.091,5336.45903,2102.39702,726986.7,27948.4,4429.32,2110.807
OSeMOSYS,Rail_EU_DEV,Europe,SSP5-8.5,2030,0.8419,1.012,0.7806906887098504,1.012,787208.099,27837.091,5336.45903,2102.39702,662750.5,28171.1,4166.12,2127.626
OSeMOSYS,Rail_EU_DEV,Europe,SSP5-8.5,2040,0.5949,1.0717,0.5937858237521318,1.0717,787208.099,27837.091,5336.45903,2102.39702,468310.1,29833.0,3168.71,2253.139
OSeMOSYS,Rail_EU_OP1,Europe,SSP1-1.9,2025,0.6104,1.12,0.5501998819015658,1.12,43.446,1.662,0.3615,0.14585,26.5,1.9,0.2,0.163
OSeMOSYS,Rail_EU_OP1,Europe,SSP1-1.9,2030,0.3128,1.176,0.34188112840659657,1.176,43.446,1.662,0.3615,0.14585,13.6,2.0,0.12,0.172
OSeMOSYS,Rail_EU_OP1,Europe,SSP1-1.9,2040,0.0842,1.252,0.14685261149408368,1.252,43.446,1.662,0.3615,0.14585,3.7,2.1,0.05,0.183
OSeMOSYS,Rail_EU_OP1,Europe,SSP2-4.5,2025,0.8458,1.072,0.7189043242637458,1.072,43.446,1.662,0.3615,0.14585,36.7,1.8,0.26,0.156
OSeMOSYS,Rail_EU_OP1,Europe,SSP2-4.5,2030,0.67,1.1128,0.5876686051740497,1.1128,43.446,1.662,0.3615,0.14585,29.1,1.8,0.21,0.162
OSeMOSYS,Rail_EU_OP1,Europe,SSP2-4.5,2040,0.3619,1.1842,0.35774658552652816,1.1842,43.446,1.662,0.3615,0.14585,15.7,2.0,0.13,0.173
OSeMOSYS,Rail_EU_OP1,Europe,SSP3-7.0,2025,0.9128,1.032,0.7949183218474014,1.032,43.446,1.662,0.3615,0.14585,39.7,1.7,0.29,0.151
OSeMOSYS,Rail_EU_OP1,Europe,SSP3-7.0,2030,0.8286,1.04,0.7443012626310594,1.04,43.446,1.662,0.3615,0.14585,36.0,1.7,0.27,0.152
OSeMOSYS,Rail_EU_OP1,Europe,SSP3-7.0,2040,0.4715,1.1332,0.4667115223227014,1.1332,43.446,1.662,0.3615,0.14585,20.5,1.9,0.17,0.165
OSeMOSYS,Rail_EU_OP1,Europe,SSP4-6.0,2025,0.6672,1.112,0.587078114433333,1.112,43.446,1.662,0.3615,0.14585,29.0,1.8,0.21,0.162
OSeMOSYS,Rail_EU_OP1,Europe,SSP4-6.0,2030,0.3368,1.168,0.36241044597633476,1.168,43.446,1.662,0.3615,0.14585,14.6,1.9,0.13,0.17
OSeMOSYS,Rail_EU_OP1,Europe,SSP4-6.0,2040,0.1083,1.244,0.16738192906382188,1.244,43.446,1.662,0.3615,0.14585,4.7,2.1,0.06,0.181
OSeMOSYS,Rail_EU_OP1,Europe,SSP5-8.5,2025,0.9235,1.004,0.8300105371026714,1.004,43.446,1.662,0.3615,0.14585,40.1,1.7,0.3,0.146
OSeMOSYS,Rail_EU_OP1,Europe,SSP5-8.5,2030,0.8419,1.012,0.7806906887098504,1.012,43.446,1.662,0.3615,0.14585,36.6,1.7,0.28,0.148
OSeMOSYS,Rail_EU_OP1,Europe,SSP5-8.5,2040,0.5949,1.0717,0.5937858237521318,1.0717,43.446,1.662,0.3615,0.14585,25.8,1.8,0.21,0.156
OSeMOSYS,Rail_EU_OP2,Europe,SSP1-1.9,2025,0.6104,1.12,0.5501998819015658,1.12,30.076,1.15,0.25031,0.10086,18.4,1.3,0.14,0.113
OSeMOSYS,Rail_EU_OP2,Europe,SSP1-1.9,2030,0.3128,1.176,0.34188112840659657,1.176,30.076,1.15,0.25031,0.10086,9.4,1.4,0.09,0.119
