model,project_id,region,scenario,2025,2030,2040
OSeMOSYS,Hydro_AF,Africa,SSP1-1.9,14392.1,825.2,452.2
OSeMOSYS,Hydro_AF,Africa,SSP2-4.5,15253.8,10184.7,4071.5
OSeMOSYS,Hydro_AF,Africa,SSP3-7.0,15630.9,10142.2,3852.5
OSeMOSYS,Hydro_AF,Africa,SSP4-6.0,17161.8,13139.0,6642.5
OSeMOSYS,Hydro_AF,Africa,SSP5-8.5,15572.1,9769.1,3599.0
OSeMOSYS,Hydro_AS,Asia,SSP1-1.9,78919.2,55267.5,808.9
OSeMOSYS,Hydro_AS,Asia,SSP2-4.5,76954.7,51579.2,20165.6
OSeMOSYS,Hydro_AS,Asia,SSP3-7.0,70724.0,52792.6,20444.9
OSeMOSYS,Hydro_AS,Asia,SSP4-6.0,77571.0,50327.3,18846.2
OSeMOSYS,Hydro_AS,Asia,SSP5-8.5,68932.8,82405.4,37654.0
OSeMOSYS,Hydro_EU,Europe,SSP1-1.9,499.6,256.0,68.9
OSeMOSYS,Hydro_EU,Europe,SSP2-4.5,692.2,548.4,296.2
OSeMOSYS,Hydro_EU,Europe,SSP3-7.0,747.1,678.2,385.9
OSeMOSYS,Hydro_EU,Europe,SSP4-6.0,546.1,275.6,88.6
OSeMOSYS,Hydro_EU,Europe,SSP5-8.5,755.8,689.0,486.9
OSeMOSYS,Proj_001,LATAM,SSP1-1.9,101943.6,73649.8,14732.6
OSeMOSYS,Proj_001,LATAM,SSP2-4.5,133452.1,97844.0,47698.6
OSeMOSYS,Proj_001,LATAM,SSP3-7.0,145230.3,102646.4,48206.2
OSeMOSYS,Proj_001,LATAM,SSP4-6.0,132254.7,99197.5,49963.2
OSeMOSYS,Proj_001,LATAM,SSP5-8.5,148588.1,100433.9,43690.1
OSeMOSYS,Proj_002,Africa,SSP1-1.9,11241.6,644.6,353.2
OSeMOSYS,Proj_002,Africa,SSP2-4.5,11914.7,7955.3,3180.2
OSeMOSYS,Proj_002,Africa,SSP3-7.0,12209.3,7922.0,3009.2
OSeMOSYS,Proj_002,Africa,SSP4-6.0,13405.0,10262.8,5188.4
OSeMOSYS,Proj_002,Africa,SSP5-8.5,12163.3,7630.6,2811.2
OSeMOSYS,Proj_003,Europe,SSP1-1.9,16261.1,8333.0,2243.1
OSeMOSYS,Proj_003,Europe,SSP2-4.5,22532.2,17848.9,9641.0
OSeMOSYS,Proj_003,Europe,SSP3-7.0,24317.1,22074.0,12560.8
OSeMOSYS,Proj_003,Europe,SSP4-6.0,17774.3,8972.4,2885.1
OSeMOSYS,Proj_003,Europe,SSP5-8.5,24602.1,22428.3,15848.2
OSeMOSYS,Rail_EU_DEV,Europe,SSP1-1.9,480511.8,246238.7,66282.9
OSeMOSYS,Rail_EU_DEV,Europe,SSP2-4.5,665820.6,527429.4,284890.6
OSeMOSYS,Rail_EU_DEV,Europe,SSP3-7.0,718563.6,652280.6,371168.6
OSeMOSYS,Rail_EU_DEV,Europe,SSP4-6.0,525225.2,265131.7,85254.6
OSeMOSYS,Rail_EU_DEV,Europe,SSP5-8.5,726986.7,662750.5,468310.1
OSeMOSYS,Rail_EU_OP1,Europe,SSP1-1.9,26.5,13.6,3.7
OSeMOSYS,Rail_EU_OP1,Europe,SSP2-4.5,36.7,29.1,15.7
OSeMOSYS,Rail_EU_OP1,Europe,SSP3-7.0,39.7,36.0,20.5
OSeMOSYS,Rail_EU_OP1,Europe,SSP4-6.0,29.0,14.6,4.7
OSeMOSYS,Rail_EU_OP1,Europe,SSP5-8.5,40.1,36.6,25.8
OSeMOSYS,Rail_EU_OP2,Europe,SSP1-1.9,18.4,9.4,2.5
OSeMOSYS,Rail_EU_OP2,Europe,SSP2-4.5,25.4,20.2,10.9
OSeMOSYS,Rail_EU_OP2,Europe,SSP3-7.0,27.5,24.9,14.2
OSeMOSYS,Rail_EU_OP2,Europe,SSP4-6.0,20.1,10.1,3.3
OSeMOSYS,Rail_EU_OP2,Europe,SSP5-8.5,27.8,25.3,17.9
