model,scenario,year,project_id,asset_class,region,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$
OSeMOSYS,SSP1-1.9,2025.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,14143.9994397,851.0316198,79.97650975878783,33.575716823
OSeMOSYS,SSP1-1.9,2025.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,77001.4333677,3750.9404933,443.822839631444,161.27691305000002
OSeMOSYS,SSP1-1.9,2025.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,496.39330720000004,30.4318516,2.8556080855303834,2.296583994
OSeMOSYS,SSP1-1.9,2025.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,99580.6221215,6312.8868203,611.4069719913093,293.09921387500003
OSeMOSYS,SSP1-1.9,2025.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,11053.9484444,725.1613961,70.29913720033531,27.960053257
OSeMOSYS,SSP1-1.9,2025.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,16157.767821700001,1161.047266,114.79695895648979,85.973760913
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,477457.0901147,30147.510287700003,2913.521114862444,2290.691406029
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,26.349951400000002,1.7990809,0.19749081485956688,0.15949572700000003
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,18.241020300000002,1.2448386000000002,0.13674788735354987,0.11030843700000001
OSeMOSYS,SSP1-1.9,2030.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,1448.5408735,963.77537,19.751800543461925,37.957974825
OSeMOSYS,SSP1-1.9,2030.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,53610.4806426,4009.0614685,303.3347974168168,172.32871684
OSeMOSYS,SSP1-1.9,2030.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,261.6647423,32.0002485,1.7857545906812906,2.413457835
OSeMOSYS,SSP1-1.9,2030.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,71337.135217,6527.601495999999,457.9660176365612,303.091617525
OSeMOSYS,SSP1-1.9,2030.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,1115.9913013,821.4110165,17.145696985408698,31.618773889999996
OSeMOSYS,SSP1-1.9,2030.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,8518.3870061,1220.7240514999999,71.73138405324525,90.34231184
