project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,sourcing_country,trade_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t,model_label,scenario,year,adj_ratio_ghg,adj_ratio_employment,adj_ratio_water,adj_ratio_va,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$,tier_label,tier,sourcing_region,sourcing_share,tier_range
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,14041.122479999998,1234.325484,41.27412757885775,38.54256,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,10144.097039999999,1274.03136,31.228984886668965,39.7824,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,2029.1779199999999,1348.708536,10.856046608995483,42.11424,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,18380.91024,1170.73152,53.756751266329815,36.5568,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,13476.46608,1223.45748,40.93659219172324,38.2032,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP2-4.5,2040.0,0.3665,1.2065,0.3364264164875368,1.2065,6569.732399999999,1298.2422599999998,22.84335367950375,40.538399999999996,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP3-7.0,2025.0,1.1159,1.065,0.8613688492124596,1.065,20003.177039999995,1145.9825999999998,58.48694486152601,35.784,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP3-7.0,2030.0,0.7887,1.1253,0.6336921957863778,1.1253,14137.920719999998,1210.867812,43.02770009389506,37.81008,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP3-7.0,2040.0,0.3704,1.2033,0.34165561282255663,1.2033,6639.642239999999,1294.798932,23.198416110651596,40.43088,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP4-6.0,2025.0,1.0162,1.092,0.7828295814147193,1.092,18215.99472,1175.03568,53.15412857805944,36.6912,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP4-6.0,2030.0,0.7622,1.1369,0.6081643492139134,1.1369,13662.892319999999,1223.349876,41.294359311624724,38.19984,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP4-6.0,2040.0,0.3839,1.2041,0.3475652718022418,1.2041,6881.637839999999,1295.659764,23.59968195537222,40.45776,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP5-8.5,2025.0,1.1417,1.0569,0.882895197634791,1.0569,20465.657519999997,1137.266676,59.94858391940231,35.51184,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP5-8.5,2030.0,0.7717,1.1264,0.6239839506863696,1.1264,13833.185519999999,1212.0514560000001,42.3685102516045,37.84704000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,1.0,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8,OSeMOSYS,SSP5-8.5,2040.0,0.3357,1.2095,0.31775795947446916,1.2095,6017.623919999999,1301.47038,21.575765448316456,40.6392,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,3352.7746559999996,117.761286,18.71012734723478,14.68288,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,2422.2330879999995,121.54943999999999,14.156526580436976,15.1552,tier0,,,,
