project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Construction,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Energy_Utilities,20.0,4280.32,102.66,30.78,12.8,195.5,39.0
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Manufacturing,62.5,26904.0,536.8,117.6,26.25,230.0,97.5
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Transport_Logistics,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Health_Social,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Agriculture,5.0,793.8,129.8,32.7375,3.8,16.1,5.85
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Mining_Extraction,12.5,4733.6,93.94,27.648,7.0,64.6875,22.75
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,0,Water_Waste,17.5,2157.925,223.02,177.66,12.075,24.15,11.375
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,10.0,2560.8,153.72,9.7,4.8,20.7,10.4
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,17.525,3750.63,89.956,26.97097,11.216,171.30687,34.17375
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,29.885,12864.417,256.676,56.23162,12.5517,109.9768,46.6206
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,12.8125,2566.408,137.581,9.0036,7.6875,30.94219,46.6375
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,12.445,1998.07,255.192,14.12383,8.7115,12.88057,6.4714
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,5.335,846.985,138.497,34.93091,4.0546,17.1787,6.24195
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,23.575,8927.57,177.171,52.14413,13.202,122.00062,42.9065
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Water_Waste,6.8875,849.298,87.774,69.9219,4.75237,9.50475,4.47688
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Construction,4.5122,1155.484,69.362,4.37683,2.16586,9.34025,4.69269
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Energy_Utilities,8.30258,1776.885,42.617,12.77767,5.31365,81.15772,16.19003
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Manufacturing,13.65574,5878.307,117.286,25.69465,5.73541,50.25314,21.30296
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Transport_Logistics,6.05814,1213.475,65.052,4.25717,3.63488,14.6304,22.05162
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Health_Social,4.94033,793.181,101.305,5.60679,3.45823,5.11325,2.56897
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,2,Agriculture,2.62018,415.98,68.02,17.15563,1.99134,8.43698,3.06561
