project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,sourcing_country,trade_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,LATAM,0.6437,2.90441,743.762,44.647,2.81728,1.39412,6.01213,3.02059
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,Europe,0.0843,0.38034,63.308,3.259,0.22136,0.18256,0.49292,0.2069
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,Asia,0.1533,0.69152,191.842,12.024,0.762,0.33193,1.55592,0.74684
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,Africa,0.0153,0.06915,20.66,1.377,0.08318,0.03319,0.16804,0.08022
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,Global,0.1034,0.46678,99.61,5.881,0.36222,0.22405,0.8402,0.37342
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,0.6991,5.80433,1242.22,29.794,8.93287,3.71477,56.73736,11.31845
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,Europe,0.0712,0.59098,51.382,1.851,0.59287,0.37823,3.61682,0.6028
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,Asia,0.1294,1.07451,301.827,6.17,1.86192,0.68769,11.41672,2.17589
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,Africa,0.0129,0.10745,34.135,0.692,0.20212,0.06877,1.23301,0.23371
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,Global,0.0874,0.7253,121.27,3.155,0.82684,0.46419,6.16503,1.08795
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,LATAM,0.626,8.5485,3679.82,73.421,16.08485,3.59037,31.45847,13.33565
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,Europe,0.0885,1.20817,352.591,6.124,1.45632,0.50743,2.78362,0.98586
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,Asia,0.1609,2.19667,1041.747,21.96,4.77907,0.9226,8.78666,3.5586
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,Africa,0.0161,0.21967,110.585,2.351,0.49082,0.09226,0.94896,0.38222
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,Global,0.1086,1.48275,540.907,10.439,2.17964,0.62275,4.7448,1.7793
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,0.7052,4.27232,855.767,45.876,3.00224,2.56339,10.31765,15.55124
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,Europe,0.0697,0.42245,57.369,2.999,0.1898,0.25347,0.63875,0.80435
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,Asia,0.1268,0.76809,162.98,9.646,0.61054,0.46086,2.01625,2.90339
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,Africa,0.0127,0.07681,17.211,1.034,0.06282,0.04609,0.21775,0.31185
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,Global,0.0856,0.51846,88.009,4.718,0.29863,0.31108,1.08877,1.4517
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,0.7195,3.55457,570.693,72.889,4.03408,2.4882,3.67898,1.84838
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,Europe,0.0664,0.32782,32.787,3.781,0.22895,0.22947,0.21242,0.08917
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,Asia,0.1206,0.59603,103.537,13.559,0.75448,0.41722,0.67053,0.32185
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,Africa,0.0121,0.0596,11.138,1.547,0.08065,0.04172,0.07242,0.03457
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,Global,0.0814,0.40232,52.945,6.445,0.35122,0.28162,0.36209,0.16093
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,0.7117,1.86473,296.044,48.408,12.20932,1.41719,6.00443,2.18173
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,Europe,0.0682,0.17871,22.33,2.673,0.60672,0.13582,0.36028,0.10937
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,Asia,0.124,0.32492,52.54,9.865,2.44262,0.24694,1.13724,0.39478
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,Africa,0.0124,0.03249,5.35,1.058,0.26002,0.02469,0.12282,0.0424
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,Global,0.0837,0.21932,32.241,4.825,1.06372,0.16669,0.61411,0.19739
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,LATAM,0.6556,7.65507,2898.881,57.529,16.93178,4.28684,39.61496,13.93222
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,Europe,0.0815,0.95137,212.621,4.22,1.31518,0.53277,3.08245,0.90571
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,Asia,0.1481,1.72977,697.997,15.131,4.42379,0.96867,9.72996,3.26927
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,Africa,0.0148,0.17298,74.095,1.62,0.45433,0.09687,1.05084,0.35114
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,Global,0.1,1.1676,362.422,7.192,2.0176,0.65385,5.25418,1.63463
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,LATAM,0.7192,2.3983,295.734,30.564,24.3475,1.65482,3.30965,1.55889
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,Europe,0.0664,0.22155,16.207,1.866,1.41616,0.15287,0.19142,0.07533
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,Asia,0.1208,0.40282,55.565,6.004,4.60442,0.27795,0.60423,0.2719
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,Africa,0.0121,0.04028,6.23,0.687,0.46953,0.02779,0.06526,0.0292
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,Global,0.0815,0.2719,28.414,2.937,2.04472,0.18761,0.32629,0.13595
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,Africa,0.5598,0.25968,77.582,5.17,0.31234,0.12465,0.63102,0.30123
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,Europe,0.1009,0.04679,7.788,0.401,0.02723,0.02246,0.06064,0.02545
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,Asia,0.1834,0.08507,23.6,1.479,0.09374,0.04083,0.19141,0.09187
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,LATAM,0.0321,0.01489,3.812,0.229,0.01444,0.00715,0.03082,0.01548
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,Global,0.1238,0.05742,12.254,0.724,0.04456,0.02756,0.10336,0.04594
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,Africa,0.6283,0.54061,171.741,3.48,1.01689,0.34599,6.20349,1.17582
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,Europe,0.0852,0.07329,6.372,0.23,0.07353,0.04691,0.44855,0.07476
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,Asia,0.1549,0.13326,37.432,0.765,0.23091,0.08529,1.41588,0.26985
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,LATAM,0.0271,0.02332,4.991,0.12,0.03589,0.01493,0.22796,0.04547
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,Global,0.1045,0.08995,15.04,0.391,0.10254,0.05757,0.76458,0.13493
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Manufacturing,Africa,0.538,0.77546,390.387,8.298,1.7327,0.3257,3.35001,1.34931
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Manufacturing,Europe,0.1059,0.15261,44.537,0.774,0.18395,0.06409,0.35161,0.12453
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Manufacturing,Asia,0.1925,0.27747,131.586,2.774,0.60366,0.11654,1.10987,0.4495
